qid,name,pageviews_sum_global,langs_seen
Q16189572,Steve Witkoff,165033,de,en,fr
Q2692190,Keith Hunter Jesperson,164632,en
Q66241169,Jude Bellingham,164552,en,es,fr
Q47664,Catherine Zeta-Jones,164398,de,en,es,fr
Q64849968,Emma Raducanu,163626,de,en,es,fr
Q4547,Daniel Craig,163562,de,en,es,fr
Q20851003,Ousmane Dembélé,163330,de,en,es,fr
Q151269,Robert Lewandowski,163210,de,en,es,fr,ja
Q27917549,Hayato Sano,162596,ja
Q101428652,Jasmine Crockett,162414,en
Q75571953,Leo Woodall,162284,de,en,es,fr
Q298252,John Wayne Gacy,162284,de,en,es,fr
Q200768,Dennis Quaid,162047,de,en,es
Q235922,Judith Barsi,161976,de,en,es
Q271986,Kathryn Hahn,161371,de,en,es,fr
Q108532383,Ben Shelton,161170,de,en,es,fr
Q119798,Michael Douglas,160836,de,en,es,fr
Q5362573,Liz Cheney,160750,de,en,fr
Q78473599,Virginia Roberts Giuffre,160244,de,en,fr
Q8027,Martin Luther King Jr.,160106,de,en,es,fr
Q6372315,Karl-Anthony Towns,159982,en,es,fr
Q1205631,Masahiro Nakai,159950,ja
Q1072115,Daisuke Miura,159946,ja
Q80823,Anne Boleyn,159758,de,en,es,fr
Q11275008,Mone Kamishiraishi,159750,ja
Q5186320,Cristin Milioti,159687,en,es,fr
Q8605,Simón Bolívar,159563,es
Q24174947,JoJo Siwa,159113,en,es
Q61053,Olaf Scholz,159075,de,en,es,fr
Q26840238,Iga Świątek,158996,de,en,es,fr
Q5145253,Colin Jost,158628,en,es
Q30322608,Laura Loomer,158621,de,en,fr
Q20830808,Gianluigi Donnarumma,158037,de,en,fr,ja
Q30923595,Mio Imada,158004,ja
Q702233,Thomas Tuchel,157975,de,en,es,fr,ja
Q11372978,Naoya Inoue,157706,en,es,ja
Q99760796,Cole Palmer,157264,en,es,fr,ja
Q5648978,Hannah Waddingham,156964,en
Q35723119,Errol Musk,156721,de,en
Q234691,Stevie Nicks,156589,de,en
Q1909,Adil Rami,156149,en,es,fr
Q58132,Nicolás Maduro,156139,de,es,fr
Q21621919,Post Malone,155197,de,en,es
Q7383978,Ryan Coogler,154618,en
Q5352733,Fūma Kikuchi,154550,ja
Q28967995,Erling Haaland,154432,en,es,fr
Q18637676,Islam Makhachev,154325,en,es,fr,ja
Q564328,Annalena Baerbock,154241,de,fr
Q483837,Luka Modrić,153993,de,en,es,fr
Q32055,Bernard Arnault,153456,de,en,es,fr
Q1354843,Machine Gun Kelly,153188,de,en,es,fr
Q4924550,Kaoru Matsumoto,153026,ja
Q183337,David Attenborough,152925,de,en,es
Q107560666,Sarah Catherine Hook,152789,en
Q275964,Mariska Hargitay,152679,de,en,es
Q33240,Drake,152593,de,en,fr
Q1354960,Mohamed Salah,152497,en,es,fr
Q108459029,Nicholas Alexander Chavez,152382,de,en,fr
Q65950315,Benjamin Šeško,152252,en,es,fr,ja
Q23559,Benito Mussolini,152024,de,en,es,fr
Q27150837,Chanmina,151487,ja
Q123384660,Sharabutdin Magomedov,151094,en,es,fr,ja
Q266613,Wayne Rooney,150821,de,en,es,fr,ja
Q47100,Ben Stiller,150818,de,en,es,fr
Q113469519,Sam Nivola,150698,en
Q27049069,Sam Darnold,150266,de,en
Q16146870,Steve Bannon,150167,de,en,es,fr
Q44467,Orlando Bloom,149831,de,en,es,fr
Q182655,Rod Stewart,149204,de,en,es
Q17541912,Charles Leclerc,148825,de,en,es,fr
Q16226579,Mookie Betts,148509,en,es,ja
Q83642851,DDG,148478,en
Q258115,Diego Simeone,148357,de,en,es,fr
Q55183440,Brandon Sklenar,147754,de,en,fr
Q212659,Monica Lewinsky,147736,de,en
Q165219,Robert Downey Jr.,147732,de,en,es,fr
Q254,Wolfgang Amadeus Mozart,147730,de,es,fr,ja
Q309788,Don Johnson,147602,de,en,es,fr
Q108816955,Milly Alcock,146798,de,en,es,fr
Q30161386,Scottie Scheffler,146780,en
Q1135649,Mana Ashida,146706,ja
Q62050484,Michael Olise,146188,en,es,fr
Q235328,Alison Brie,145972,en,fr
Q74146604,Ryōta Bandō,145834,ja
Q131814,Tina Turner,145404,de,en,es
Q18054605,Mei Hata,145389,ja
Q15229412,Alejandra Oliveras,145277,es
Q1446,Caracalla,144569,de,en,es,fr
Q869156,Kento Nakajima,143796,ja
Q173399,Elliot Page,143625,de,en,es,fr
Q97959266,Yung Miami,143359,en
Q7177,Jean-Marie Le Pen,143351,de,fr,ja
Q316446,Sam Rockwell,143222,de,en,es,fr
Q82786,Leslie Nielsen,142930,de,en,es,fr
Q48337,Morgan Freeman,142756,de,en,es,ja
Q20752077,Mckenna Grace,142684,de,en,es
Q935,Isaac Newton,142369,en,es,fr
Q47447,Ed Sheeran,142239,de,en,es,fr
Q39073476,Joseph Quinn,141907,de,en,es,fr
Q123370607,Santa,141848,fr
Q180453,Dolly Parton,141617,de,en,es
Q36268,Brigitte Bardot,141563,de,en,es,fr
Q10520,David Beckham,141510,de,en,es,fr,ja
Q191045,Felipe VI of Spain,141488,de,en,es,fr
Q43302090,Candace Owens,141372,en,fr
Q57147,Michael Fassbender,141244,de,en,fr
Q37278,John Paul I,141199,en,es,ja
Q11572647,Yūichirō Tamaki,140535,ja
Q18684239,Adria Arjona,140276,de,en,es,fr
Q115411254,Emma Myers,140097,de,en,fr
Q111672750,Giuliano Simeone,140097,de,en,es,fr,ja
Q155236,Udo Jürgens,140007,de
Q1139078,Jack Quaid,139734,de,en,fr
Q426582,Anthony Bourdain,139532,en
Q15937109,Rachel Brosnahan,139425,en,es
Q13990552,Alexander Zverev,139353,de,en,es,fr
Q315208,Noah Wyle,139209,de,en
Q23543,Selena,139163,en,es
Q1785,Charles Aznavour,138390,de,fr
Q28088964,Rashmika Mandanna,138243,en
Q234959,Hayley Atwell,138145,de,en,es,fr,ja
Q47899,Paris Hilton,137944,de,en,es,fr,ja
Q101674980,Vivian Wilson,137747,de,en,fr
Q229430,Reba McEntire,137634,en
Q94699949,Florian Wirtz,137352,de,en,es,fr,ja
Q17515,Diego Maradona,136970,de,en,es,fr
Q1225,Bruce Springsteen,136807,de,en,es,fr
Q24007468,Maye Musk,136799,de,en,es,fr
Q545516,Bertrand Cantat,136741,de,en,es,fr
Q2121062,The Weeknd,136707,de,en,es,fr
Q233365,Catherine O'Hara,136298,de,en,es,fr
Q21872808,Lena Waithe,135911,en
Q129027,Paul Pogba,135715,de,en,es,fr
Q113827113,Kayadu Lohar,135655,en
Q206833,Denise Richards,135580,de,en
Q169982,Gerard Butler,135509,de,en,es,fr
Q222134,Ted Kaczynski,135411,de,en,es
Q106441078,Ayliva,135088,de
Q65275571,Ren Meguro,134881,ja
Q2825427,Adèle Exarchopoulos,134830,fr
Q18162913,Callum Turner,134823,en,es,fr
Q60951627,Anthony Edwards,134540,en,es
Q7407,Andre Agassi,134359,de,en,es,fr
Q11463509,Fūka Koshiba,134219,ja
Q9916,Dwight D. Eisenhower,133907,en,fr
Q5592,Michelangelo,133812,de,en,es,fr
Q17198778,Takashi Tachibana,133512,ja
Q938027,Oleksandr Usyk,133498,de,en,es,fr,ja
Q4061,Woody Guthrie,133468,de,en,es,fr
Q1378351,Mike White,133345,en
Q720581,Paul Reubens,133314,en
Q117536833,Jake Bongiovi,133161,en,es
Q42775,Johnny Cash,133095,de,en,fr
Q3011954,Sutton Foster,132960,de,en
Q76970774,Kasumi Mori,132900,ja
Q6513335,Lee Corso,132819,en
Q42786,Audrey Hepburn,132795,de,en,es,fr,ja
Q61996880,Sophie Thatcher,132553,de,en,fr
Q29561472,Morgan Wallen,132496,en
Q129591,Hugh Jackman,132458,de,en,es
Q726074,Ashley Walters,132207,de,en,es,fr
Q202313,Chad Michael Murray,132098,de,en,es,fr
Q109943,Robert Habeck,131566,de
Q55177,Sunita Williams,131189,de,en
Q62079208,Gypsy Rose Blanchard,131179,en,fr
Q34851,Elizabeth Taylor,130863,en,es
Q846934,Kayo Noro,130536,ja
Q43666,Thomas Müller,130501,de,en,es,fr
Q40791,Sandra Bullock,130273,de,en,es,fr,ja
Q80966,Cate Blanchett,130196,de,en,es,fr
Q484662,Wentworth Miller,129962,de,en,es,fr,ja
Q219653,Joshua Jackson,129950,de,en,es,fr
Q56162397,Ángela Aguilar,129904,es
Q167696,Nicole Scherzinger,129855,de,en,fr
Q28840013,Shubman Gill,129671,en
Q7385320,Ryosei Akazawa,129410,ja
Q132345,Shinzō Abe,129362,en,ja
Q717015,James Gunn,129292,en,es
Q3304418,Meghan, Duchess of Sussex,129277,de,en,es,fr
Q82637284,Sarah Knafo,129217,fr
Q163263,Eva Longoria,128848,en,es,fr
Q130240908,Gisèle Pelicot,128795,de,en,es,fr
Q114834007,IShowSpeed,128424,en,es,fr,ja
Q17225942,Ayumu Nakajima,128354,ja
Q36322,Jane Austen,128187,de,en,es
Q84467057,Ai Mikami,127879,ja
Q7226,Joan of Arc,127520,de,en,es,fr,ja
Q74145576,Natsuki Deguchi,127513,ja
Q954080,Hideki Matsui,127366,ja
Q22758581,Riho Yoshioka,127162,ja
Q306403,James Franco,126627,en,fr
Q544465,Kathy Bates,126512,en
Q329,Nicolas Sarkozy,126421,de,fr
Q17281073,Nikola Jokić,126366,en,es,fr
Q351849,Tony Todd,126251,de,en,es,fr
Q362254,Takuya Kimura,126133,ja
Q84803821,Fujii Kaze,126124,ja
Q77810839,Akari Takaishi,126077,ja
Q30935992,Yoshinobu Yamamoto,126016,ja
Q83739405,Addison Rae,125995,en
Q5289582,Dolours Price,125611,en
Q132596,Tarō Asō,125441,ja
Q11551702,Elaiza Ikeda,124930,ja
Q661410,Shinjirō Koizumi,124735,ja
Q26806,Danny DeVito,124572,de,en
Q158957,Priyanka Chopra,124566,de,en,es,fr
Q160432,Jude Law,124321,de,en,es,fr
Q6070218,Pedro Sánchez,124244,en,es,fr
Q267330,Miles Teller,124190,de,en,es,fr
Q2849301,Ange Postecoglou,124182,de,en,es,fr,ja
Q359442,Bernie Sanders,124133,de,en,fr
Q911463,Masahiro Tanaka,124100,ja
Q104013188,Kyōya Honda,124080,ja
Q3180174,Joe Root,124052,en
Q24870981,First Summer Uika,123998,ja
Q188459,Goldie Hawn,123892,en,es
Q171411,Oda Nobunaga,123486,de,en,fr,ja
Q22951255,Marcus Rashford,123466,en,es,fr,ja
Q467755,Ruth Ellis,123404,en
Q318514,Sid Wilson,123272,de,en,es
Q105542333,Teddy Swims,123262,de,en,es
Q16090635,Yoon Suk Yeol,123094,de,en,es,fr,ja
Q20974100,Adam Pearson,122964,en,es
Q6318376,Justine Musk,122886,de,en,es
Q5809,Che Guevara,122771,de,en,es,fr
Q179414,Kate Beckinsale,122704,de,en,es,fr
Q313107,Jon Hamm,122087,en,fr
Q529207,Ronaldo,122025,es,fr
Q193517,Emily Blunt,121940,de,en,es,fr
Q15147328,Kanna Hashimoto,121821,ja
Q3044,Charlemagne,121757,de,en,es,fr
Q61780902,Khvicha Kvaratskhelia,121521,de,en,es,fr
Q238849,Kelsey Asbille,121469,de,en,fr
Q9640,Lyndon B. Johnson,121200,en
Q108126,Katherina Reiche,121109,de
Q8023,Nelson Mandela,121047,en,es,fr
Q1143704,Mariya Takeuchi,120887,ja
Q34012,Marlon Brando,120715,de,en,es,fr
Q17466583,Naomi Osaka,120603,de,en,es,ja
Q80405,Julianne Moore,120400,de,en,es,fr
Q231811,Kristin Chenoweth,120193,de,en,es
Q106383,Isabelle Adjani,119834,de,en,fr
Q882,Charlie Chaplin,119641,de,en,es,fr
Q153996,Nena,119424,de
Q297252,David Mose,119241,en,fr
Q7937699,Vivian Dsena,119189,en
Q21062238,Curtis Yarvin,119070,de,en,fr
Q78337779,Katie Miller,119045,en
Q7820345,Tomoyuki Sugano,119016,ja
Q131412,Mary, Queen of Scots,118957,de,en,es,fr
Q6060,50 Cent,118823,de,en,es,fr
Q62766,Jay-Z,118799,de,en,es,fr
Q333468,Robert Maxwell,118407,de,en,fr
Q9535,Shah Rukh Khan,118185,en
Q64747492,Tommy Edman,117957,en,ja
Q2345201,Tommy Robinson,117868,de,en,fr
Q9046864,Mitsuki Takahata,117837,ja
Q337762,Hiroshi Moriyama,117329,ja
Q100773105,Raphaël Quenard,117147,fr
Q200534,Tilda Swinton,116976,de,en,es,fr
Q175535,Matt Damon,116764,de,en,es,fr
Q47213,Warren Buffett,116675,de,en,es,fr,ja
Q170467,Philip V of Spain,116624,es,fr
Q374220,Danny Masterson,116384,en,es,fr
Q44368,André the Giant,116311,de,en,es,fr
Q15795521,Katharina Dröge,115850,de
Q112957545,Shivon Zilis,115589,en,es,fr
Q21015390,Sayuri,115420,en,es,fr,ja
Q11485540,Suzu Hirose,115355,ja
Q27916194,Keith Kellogg,115138,de,en,fr
Q123351,Michael Caine,115118,de,en,es,fr
Q20039699,Kaya Kiyohara,115091,ja
Q455898,Sebastian Stan,115038,de,en,es,fr
Q131404402,Ranmaru Kishitani,115000,ja
Q216708,Liam Gallagher,114676,de,en,es,fr
Q19667998,Patrick Mahomes,114675,en
Q451791,Giorgia Meloni,114624,de,es,fr,ja
Q380613,Rory McIlroy,114327,en
Q383930,Dave Franco,114084,en,fr
Q10854998,Moka Kamishiraishi,114052,ja
Q303957,Josh Hartnett,114010,de,en,es,fr
Q318503,Mark Cuban,114005,en,es
Q319189,Jeffrey Sachs,113881,de,en,fr
Q125929453,Mohamed Amra,113739,fr
Q80938,John Travolta,113557,de,en,es,fr
Q39444,Ronaldinho,113555,es,fr
Q26772552,Nina Chuba,113331,de
Q614774,Maggie Q,113264,de,en,es,fr,ja
Q131910762,Kanna Seto,113179,ja
Q242204,Dichen Lachman,113159,en,fr
Q34861530,Ano,113130,ja
Q186327,Marilyn Manson,112859,de,en,es,fr
Q5878,Gabriel García Márquez,112453,es
Q123289726,Franco Mastantuono,112447,en,es,fr,ja
Q13605596,Travis Scott,112284,de,en,es,fr
Q23759917,Alexander Isak,112142,en,es,fr,ja
Q20974095,Mia Goth,112059,de,en,es,fr
Q842633,Stephanie McMahon,111820,de,en
Q535,Victor Hugo,111598,en,fr
Q1279993,Ebon Moss-Bachrach,111542,en,es
Q214289,Michelle Yeoh,111463,de,en
Q147077,Emma Stone,110877,de,en,es,fr
Q208558,Andie MacDowell,110251,de,en,es,fr
Q232674,Minka Kelly,110204,de,en,es,fr
Q231751,Kat Dennings,110124,de,en
Q153694,Michael Bublé,110087,de,en,es,fr
Q220850,Timothy McVeigh,109979,de,en,es
Q45626,Ruud van Nistelrooy,109928,de,en,es,fr
Q940215,Yu Darvish,109881,ja
Q1154241,Masaki Okada,109849,ja
Q132616,Naomi Watts,109669,de,en,es,fr
Q105581073,Ethel Cain,109632,en
Q203268,Michael C. Hall,109477,en
Q29841285,Harris Dickinson,109467,de,en
Q934648,Takeru Satō,109392,ja
Q98102459,Lucas Chevalier,109163,de,en,fr,ja
Q216160,Jeremy Clarkson,109122,de,en
Q208104,Xabi Alonso,108828,de,en,es,fr,ja
Q5582,Vincent van Gogh,108826,de,es,fr,ja
Q11636727,Shuri,108463,ja
Q66828598,Raul,108399,ja
Q103157,Kurt Russell,108233,en,es,fr
Q77774,Maria Furtwängler,108218,de
Q71678901,Rōki Sasaki,108157,ja
Q59830990,Lewis Pullman,108106,en,es
Q11604296,Kenshi Yonezu,107973,ja
Q37030,Thomas Mann,107765,de,es,fr
Q302061,Carlos Lehder,107456,es
Q108776459,Ryōki Miyama,107363,ja
Q11409650,Susumu Hara,107286,ja
Q310926,Chevy Chase,107116,de,en
Q124754929,Jungeli,106950,fr
Q1149,Indira Gandhi,106872,en
Q188401,Emily Osment,106514,en
Q1835,Zinedine Zidane,106480,es,fr,ja
Q111698612,Angel Reese,106420,en
Q244441,Pete Seeger,106393,de,en,fr
Q6345808,Kazuya SHIMBA,106333,ja
Q3395911,Pom Klementieff,106204,de,en,fr,ja
Q65029113,Doug Emhoff,106081,de,en,fr
Q28100008,Tim Kamrad,105837,de
Q30339198,Jean-Noël Barrot,105593,de,fr
Q65031068,Olivier Richters,105546,en
Q16397,Bruce Lee,105454,de,en,es,fr,ja
Q228943,Elle Fanning,105360,en,es,fr
Q1049596,Akiko Higashimura,105288,ja
Q519784,Kaitlyn Dever,105039,de,en
Q40655898,Jordan Bardella,105034,de,fr
Q273055,R. Kelly,104905,de,en,es,fr
Q7781503,Theo Von,104747,en
Q165518,Ewan McGregor,104696,de,en,es
Q4573,Sean Connery,104653,de,en,es,fr
Q157400,Idina Menzel,104585,en
Q11467539,Makiya Yamaguchi,104398,ja
Q2699605,Kira Miró,104384,es
Q51489,M. Night Shyamalan,104376,en,es,fr
Q227129,Zoë Kravitz,104372,de,en,es,fr
Q215976,Patricia Arquette,104359,en
Q1318594,Miho Nakayama,104218,ja
Q117353279,Zaho de Sagazan,104044,de,fr
Q65161168,Sophie Cunningham,103556,en
Q212002,Amanda Bynes,103370,de,en,es,fr
Q21484766,Ademola Lookman,103032,en,fr
Q11382235,Kyōko Sasaki,103006,ja
Q255,Ludwig van Beethoven,102845,de,en,es,ja
Q308840,Jean-Claude Van Damme,102730,de,en,es,fr,ja
Q18621182,Kohei Arihara,102711,ja
Q26262599,Jennie,102659,en,fr,ja
Q3814268,Kei Tanaka,102328,ja
Q5385992,Eric Adams,102315,en
Q9543,Salman Khan,102288,en
Q253476,Christie Brinkley,102249,en
Q70894,Nick Saban,102093,en
Q48410,Richard Gere,102018,de,en,es,fr
Q60844968,Shyamala Gopalan,101945,en,fr
Q11364670,Yūichi Nakajima,101850,ja
Q63086179,Emma Corrin,101844,en,es,fr
Q51754587,Danny Ramirez,101629,de,en,es
Q648475,Florinda Meza,101612,es
Q134456,Yukio Mishima,101376,en,ja
Q128245,Mohammad Reza I of Iran,101242,de,en,es,fr,ja
Q11428947,Akihisa Shiono,101233,ja
Q376140,Richard Kiel,100943,de,en,es,fr
Q192655,Lara Fabian,100705,fr
Q23760,Rowan Atkinson,100673,de,en,fr
Q44269,Saint Nicholas,100495,de,en,es,fr,ja
Q466963,Tetsuko Kuroyanagi,100397,ja
Q29179,Francisco Franco,100380,de,es,fr
Q79983,José Mourinho,100329,en,es,fr,ja
Q3386444,Pierre Niney,100263,fr
Q521070,Tanuma Okitsugu,100253,ja
Q23034454,Louis Sarkozy,100228,fr
Q88923153,Ryūbi Miyase,99962,ja
Q27966578,Josh Allen,99812,en
Q156796,Michelle Williams,99699,de,en,es,fr
Q3526023,Khabib Nurmagomedov,99668,de,en,es,fr
Q11467778,Shiori Kanno,99636,ja
Q5593,Pablo Picasso,99618,de,en,es,fr
Q3814475,Alexa Ray Joel,99605,en
Q352717,David Berkowitz,99195,de,en,es,fr
Q1313628,Yoichi Miyazawa,99152,ja
Q150916,Jon Bon Jovi,99124,de,en,es,fr
Q5147723,Colman Domingo,99035,en,es,fr
Q29328,Brie Larson,98664,de,en
Q1155256,Yuki Uchida,98201,ja
Q230004,Rosamund Pike,98108,de,en,fr
Q29545,Kevin Durant,97876,en,fr
Q45901,Thierry Henry,97858,en,es,fr
Q568509,Theo James,97817,de,en
Q106508,Gérard Depardieu,97700,en,es,fr
Q4980869,Laura Dahlmeier,97587,de,fr
Q11662,Steffi Graf,97456,de,en,es,fr
Q56259738,Rhea Ripley,97429,en,es
Q180710,Anna Nicole Smith,97427,de,en,es,fr
Q11648535,Ryohei Suzuki,97373,ja
Q56434717,Greta Thunberg,97353,de,en,es,fr
Q3009012,Cyril Hanouna,97310,fr
Q129910,A$AP Rocky,97302,en,es,fr
Q12957372,Hannah Walters,97268,en
Q42930,Dustin Hoffman,97104,de,en,es,fr
Q10855755,Takumi Kitamura,96943,ja
Q172044,Jennifer Garner,96898,de,en,es,fr
Q11259355,Taku Izumi,96889,ja
Q56808740,Rihito Itagaki,96573,ja
Q17306009,Enrique Hernández,96481,en,es,ja
Q131660,Dominique de Villepin,96463,fr
Q4263050,Dewi Sukarno,96400,ja
Q254894,Naomi Scott,96297,de,en,fr,ja
Q1411012,Jeremy Allen White,96006,en,es
Q218532,John Candy,95948,en,fr
Q485901,James Marsden,95758,de,en
Q6377493,Katie Lee,95729,en
Q1033016,Halle Berry,95701,de,en,es,fr
Q567,Angela Merkel,95453,de,fr
Q29055,Sacha Baron Cohen,95424,de,en,fr
Q52717515,Juan Soto,95294,en,es,ja
Q2915508,Charles Sobhraj,95291,en,fr
Q20994118,Rodri,95283,es,fr
Q11359505,Naoyuki Uwasawa,95248,ja
Q11577891,Takuya Kai,95023,ja
Q456321,Joaquín Guzmán Loera,94992,en,es
Q5964561,Ryo Yoshizawa,94862,ja
Q450529,Frank Costello,94736,en,es,fr
Q105071364,Isack Hadjar,94714,de,en,es,fr,ja
Q230654,Maria Shriver,94678,de,en
Q15031,Xi Jinping,94666,en,es,fr
Q17403476,Keerthy Suresh,94603,en
Q171758,Matthew Perry,94538,de,en,es
Q228699,Sharon Tate,94510,de,en,es,fr
Q56094,Francis Ford Coppola,94503,de,en,es,fr
Q114402278,Mirra Andreeva,94273,en,es,fr
Q984641,Yūichi Nakamura,94192,ja
Q57344,Joschka Fischer,94100,de
Q381203,Ted Danson,93982,de,en,es,fr
Q532180,Cole Hauser,93767,de,en,es
Q40912,Frank Sinatra,93723,de,en,es,fr
Q1065638,Yuriko Ishida,93602,ja
Q542634,Alex Garland,93580,de,en,es,fr,ja
Q78006,Dieter Hallervorden,93435,de
Q133313,Jake Gyllenhaal,93256,de,en,es,fr
Q118355980,James Nelson-Joyce,92943,en
Q295847,Richard Chamberlain,92842,de,en,es,fr
Q2960989,Charlotte Le Bon,92804,en,fr
Q1093223,Tarō Yamamoto,92620,ja
Q28872582,Théo Curin,92516,fr
Q4521676,Katherine Schwarzenegger,92351,en,es,fr
Q9557,Aamir Khan,92313,en
Q22129145,Mayu Hotta,92239,ja
Q178903,Alexander Hamilton,92162,en
Q189226,Amanda Seyfried,92144,de,en,fr
Q11373520,Mototaka Ikawa,92050,ja
Q43303,Malcolm X,91914,en,es,fr,ja
Q243430,Terence Hill,91855,de,fr
Q179157,The Notorious B.I.G.,91780,de,en,fr
Q7290570,Ramón Valdés,91571,es
Q7732,Louis XVI of France,91531,de,en,es,fr
Q208667,Stellan Skarsgård,91469,de,en
Q28586147,Tom Homan,91434,en
Q11469322,Maika Yamamoto,91424,ja
Q3454165,Kevin Bacon,91337,de,en,es,fr
Q326617,Kazushige Nagashima,90696,ja
Q97031297,Vaundy,90668,ja
Q253900,Masami Nagasawa,90653,ja
Q214309,Sam Neill,90444,de,en,es,fr,ja
Q1197212,Kyōko Koizumi,90335,ja
Q231058,Shailene Woodley,90331,de,en,es,fr
Q296609,Russell Brand,89934,de,en
Q6294,Hillary Clinton,89863,en
Q873810,Yutaka Matsushige,89621,ja
Q1138674,Jesse Plemons,89565,de,en,es,fr
Q29033668,Cardi B,89463,en
Q20088944,Anna Kalinskaya,89261,de,es,fr
Q10287,Manuel Valls,88885,es,fr
Q16231429,Faye Marsay,88861,en,es
Q3078910,Mathieu van der Poel,88811,de,en,es,fr
Q235905,Melanie Lynskey,88480,en
Q42402,Andrea Bocelli,88397,de,en,es,fr
Q57109,Josef Mengele,88373,de,es,fr
Q24000262,Ahn Hyo-seop,88330,en
Q5144845,Colin Allred,88269,en
Q236549,Helene Fischer,88235,de
Q21070387,Frederick Trump,88168,de,en,es,fr
Q193555,Brendan Fraser,88139,de,en,es,fr,ja
Q73615633,Vassili Schneider,88076,fr
Q117338267,Yeri Mua,88071,es
Q24702913,Hilaria Baldwin,88047,en
Q103343,Jennifer Connelly,87956,de,en,es,ja
Q6110670,Rodrigo De Paul,87827,en,es,fr
Q3181500,John Fetterman,87818,en
Q17210745,Kyōko Yoshine,87698,ja
Q19794,Josh Duhamel,87540,de,en,es,fr
Q312531,Thomas Brodie-Sangster,87434,de,en,es
Q188772,Willem Dafoe,87288,de,en,es,fr
Q1281204,James Carville,87281,en
Q2597050,Marla Maples,87205,en,fr
Q48758750,Sei Shiraishi,87204,ja
Q732103,Sadaharu Oh,87146,ja
Q3520045,Rohit Sharma,87043,en
Q49524,Kana Hanazawa,86808,ja
Q19878,Muammar Gaddafi,86790,de,en,es,fr
Q561205,Raphael,86576,es
Q112334777,Mason Thames,86465,en,es
Q2837069,Aliocha Schneider,86433,fr
Q1188884,Yūya Yagira,86000,ja
Q27881473,Vivek Ramaswamy,85990,en
Q82805,Sergio Pérez,85726,de,en,es,fr
Q47059,Aishwarya Rai Bachchan,85694,en
Q92621937,Carlos Mazón Guixot,85628,es,fr
Q16264425,Reina Ueda,85595,ja
Q188997,Wojciech Szczęsny,85580,en,es,fr
Q11490868,Jun Shison,85488,ja
Q1142250,Yūko Takeuchi,85323,ja
Q8973362,Sairi Itō,84979,ja
Q68878,Alfred Herrhausen,84933,de
Q109324,Christopher Lloyd,84822,de,en,es,fr,ja
Q4583,Anne Frank,84535,de,en,es,fr,ja
Q676555,Francis of Assisi,84419,de,en,es
Q1347031,Aoi Yūki,84418,ja
Q3123610,Gérald Darmanin,84411,fr
Q16867,Edgar Allan Poe,84349,de,en,es,ja
Q20089181,Sébastien Lecornu,84229,fr
Q108110252,直川貴博,84200,ja
Q57915902,Meenakshi Chaudhary,83751,en
Q52151598,Juice WRLD,83692,de,en,es,fr
Q229166,Amber Heard,83591,de,en,es,fr,ja
Q6502596,Laverne Cox,83576,de,en,es,fr
Q125342503,Edmundo González,83575,de,es
Q164038,Pep Guardiola,83544,de,en,es,fr
Q1208611,Atsuko Tanaka,83493,ja
Q1069140,Luis Miguel,83480,es
Q44567,Triple H,83448,en,fr
Q969725,Harry Kane,83357,en,es,fr
Q1450891,Xavier Niel,83272,fr
Q455880,Suge Knight,83196,de,en,es
Q26703036,Monica Barbaro,83100,de,en,es
Q5107389,Chris McCausland,82691,en
Q1059471,Takahiro Moriuchi,82649,ja
Q111627959,Jamie Gittens,82606,en
Q1696501,Johann Wadephul,82605,de
Q166389,Daniel Day-Lewis,82477,de,en,es,fr
Q171977,Tokugawa Ieyasu,82475,ja
Q4687588,Haruka Fukuhara,82415,ja
Q720027,Bill Belichick,82373,en
Q18097962,Pete Davidson,82364,de,en,fr
Q173633,Monica Seles,82325,en,es,fr
Q22001324,Karol G,82285,es
Q113818347,Kai Cenat,82259,en,es
Q106706,Jeff Goldblum,82257,de,en,fr,ja
Q44152,Eddie guerrero,82192,de,en,es,fr
Q16568576,Karen Khachanov,82147,de,en,fr
Q212064,Channing Tatum,82131,de,en,es,fr
Q299138,Kid Cudi,82089,de,en,fr
Q193504,Vincent Cassel,82031,de,es,fr
Q528496,Vijay,81952,en
Q48870794,Dricus du Plessis,81929,en,es,fr,ja
Q32500,Charles V,81758,es,fr
Q1924847,Margot Robbie,81622,de,en,es,fr
Q103646,Ron Howard,81607,de,en,fr
Q97959573,Junto Nakatani,81484,ja
Q457825,Shun Oguri,81483,ja
Q11284289,Minami Hamabe,81406,ja
Q15987809,Alex Pereira,81390,en,es,fr,ja
Q1319882,Will Poulter,81358,en
Q11256,Fidel Castro,81358,de,en,es
Q2042,Charles de Gaulle,81270,fr
Q15614083,Necati Arabaci,81202,de,en
Q59180330,Liam Lawson,81190,de,en,es,fr,ja
Q212015,Johnny Hallyday,81125,fr
Q44158,Dave Bautista,81056,de,en
Q531599,Harvey Weinstein,81047,de,en,fr
Q51318989,Donte DiVincenzo,81015,en,fr
Q19943,Juan Carlos I of Spain,80973,de,en,es,fr
Q97760769,Trinity Rodman,80830,en
Q16573973,Luciano Cabral,80714,es
Q533284,Gustavo Cerati,80708,es
Q11578,Venus Williams,80667,de,en,es,fr
Q53764960,Mikuru Asakura,80563,ja
Q41548,Antonio Banderas,80553,de,en,es
Q6113745,Jack Lowden,80463,en,es
Q1434,Commodus,80432,de,en,es,fr
Q176455,Melanie Griffith,80408,en,es
