qid,name,pageviews_sum_global,langs_seen
Q21621995,Kylian Mbappé,544559,de,en,es,fr
Q103578,Macaulay Culkin,544558,de,en,es,fr,ja
Q302,Jesus Christ,543815,de,en,es,fr,ja
Q194333,Billy Joel,539783,de,en,es
Q25936414,Millie Bobby Brown,537878,de,en,es
Q130798,Kendrick Lamar,536346,de,en,fr,ja
Q26923245,Mikey Madison,535117,de,en,es,fr
Q6109517,Leo XIV,535088,de,en,es,fr,ja
Q2315802,Dakota Johnson,533208,de,en,es,fr
Q505476,Avicii,531618,de,en,es,fr,ja
Q36153,Beyoncé,531435,de,en,es,fr,ja
Q150782,Empress Elisabeth of Austria,530848,de,en,es,fr,ja
Q6159535,Vanessa Kirby,528669,de,en,es,fr,ja
Q1335527,Shigeru Ishiba,522908,de,en,ja
Q9673,Lewis Hamilton,519606,de,en,es,fr,ja
Q9094,José Mujica,518910,de,en,es,ja
Q294372,Adam Brody,518056,de,en,es,fr
Q91,Abraham Lincoln,512416,de,en,es,fr,ja
Q4725343,Alia Bhatt,508523,en
Q818048,Benny Blanco,500089,de,en,es,fr
Q516690,Walton Goggins,495837,de,en
Q110970104,Luke Littler,494890,de,en,es,fr
Q44473,O. J. Simpson,492588,de,en,es,fr
Q3087003,Freddie Freeman,491932,en,ja
Q231726,Hailee Steinfeld,484356,de,en,es,fr
Q1317,Osama bin Laden,483431,de,en,es,fr
Q5383,David Bowie,483273,de,en,es,ja
Q45923,Aaron Taylor-Johnson,482732,de,en,es,fr
Q15935,Kanye West,481135,de,en,es,fr,ja
Q2239218,Max Verstappen,478948,de,en,es,fr,ja
Q20882479,Anya Taylor-Joy,476423,de,en,es,fr
Q705525,Peter Thiel,474829,de,en,fr
Q132537,Robert Oppenheimer,474679,de,en,es,fr,ja
Q32860369,Shai Gilgeous-Alexander,472918,de,en,es,ja
Q97185032,Ilia Topuria,471689,de,en,es,fr,ja
Q8016,Winston Churchill,468120,de,en,es,fr
Q174311,Christopher Reeve,466733,de,en,es,fr
Q19837,Steve Jobs,463968,de,en,es,fr,ja
Q302091,Aaron Hernandez,461995,en
Q81328,Harrison Ford,461168,de,en,es,fr,ja
Q4616,Marilyn Monroe,458408,de,en,es,fr,ja
Q110008128,Benson Boone,455522,de,en,es,fr
Q11566976,Shōhei Hino,454535,ja
Q442547,Stephen Graham,451443,de,en,es,fr
Q8409,Alexander the Great,450354,de,en,es,fr,ja
Q47075606,Viktor Gyökeres,450134,de,en,es,fr
Q6383803,Keir Starmer,445119,en,es,fr
Q18222476,Sofia Carson,443601,de,en,es,fr
Q22277803,Florence Pugh,439395,de,en,es,fr,ja
Q18637166,Andrew Tate,435102,de,en,es,fr
Q40715,Jennifer Lopez,434407,de,en,es,fr
Q131411648,Luigi Mangione,434312,de,en
Q9671,Michael Schumacher,433900,de,en,es,fr,ja
Q208026,Tom Hardy,433837,de,en,es,fr,ja
Q213854,Virat Kohli,433714,en
Q34086,Justin Bieber,426336,de,en,es,fr
Q2023710,Tom Holland,424708,de,en,es,fr
Q24335412,Taylor Sheridan,423713,de,en,es,fr
Q36301,Anne Hathaway,423152,de,en,es,fr
Q129719542,Bonnie Blue,422555,de,en,es
Q1450,Bruno Mars,421170,de,en,es,fr,ja
Q144622,Phil Collins,419172,de,en,fr
Q12003,Cher,417367,de,en,es,fr
Q28493,Ralph Fiennes,416907,de,en,es,fr,ja
Q21511883,Brigitte Macron,416731,de,en,es,fr
Q40572,Heath Ledger,416033,de,en,es,fr
Q19198,Chester Bennington,412058,de,en,es,fr,ja
Q169963,Jason Statham,410971,de,en,es,fr,ja
Q28034971,Zohran Mamdani,410512,de,en,fr
Q42493,Katy Perry,406060,de,en,es,fr
Q187447,Pablo Escobar,405655,de,en,es,fr
Q36844,Rihanna,400682,de,en,es,fr
Q34389,Whitney Houston,400048,en,es,fr,ja
Q3626966,Harry Styles,398940,de,en,es,fr
Q24891605,Bella Ramsey,398593,de,en,es,fr
Q7172014,Pete Hegseth,398370,de,en
Q44333953,Bad Bunny,397606,en,es,fr
Q901541,Patrick Schwarzenegger,395678,de,en,es,fr
Q3052772,Emmanuel Macron,395580,de,en,es,fr
Q26707663,Lisa,393827,de,en,es,fr,ja
Q280856,George VI,392267,de,en,es,fr
Q42229,Mel Gibson,390473,de,en,es,fr,ja
Q21592171,Kemi Badenoch,389945,en,es,fr
Q32620,Tulsi Gabbard,389617,de,en,fr
Q42101,Denzel Washington,387886,de,en,es,fr,ja
Q44903,Lindsay Lohan,384209,de,en,es,fr
Q5771800,Claudia Sheinbaum,381057,de,en,es,fr
Q27655344,Rosé,381051,de,en,es,fr,ja
Q124481586,Nobu Komatsu,379070,ja
Q3386636,Pierre Poilievre,378960,en,fr
Q315271,Jason Momoa,372835,de,en,es,fr
Q311374,Alexander Ovechkin,371197,en,es
Q37175,Johnny Depp,367683,de,en,es,fr,ja
Q185140,Joaquin Phoenix,365172,de,en,es,fr,ja
Q23,George Washington,362427,de,en
Q1203,John Lennon,361991,de,en,es,fr,ja
Q483118,Ben Affleck,360319,de,en,es,fr,ja
Q377662,Jeffrey Jones,357402,de,en,es,fr
Q11637,Judy Garland,356230,de,en,es,fr
Q59248250,Hunter Schafer,354626,de,en,es,fr
Q22007193,Lando Norris,354437,de,en,es,fr
Q6107,Tupac Shakur,353947,de,en,es,fr
Q44430,Vince McMahon,353665,de,en,es,ja
Q190162,Zoe Saldaña,352320,de,en,es,fr,ja
Q193815,Ryan Gosling,349710,de,en,es,fr
Q39476,Emma Watson,349667,de,en,es,fr
Q17540318,Mukund Varadarajan,348694,en
Q117970,Grimes,348678,de,en,es,fr
Q10132,Rafael Nadal,348588,de,en,es,fr,ja
Q130311,George Michael,347455,de,en,es,fr,ja
Q51056,Franz Joseph I of Austria,347339,de,en,es,fr
Q7207,Elizabeth I of England,345314,de,en,es,fr
Q6272488,Jonathan Bailey,342025,de,en,es,fr
Q496491,Kim Soo-hyun,340153,de,en,es,fr,ja
Q106828532,Aaron Pierre,338141,de,en,es,fr
Q199931,Leighton Meester,337915,de,en,es,fr
Q1303706,Justin Baldoni,333093,de,en,es,fr
