qid,enTitle,pageviews_30d_en,sitelinks
Q2685,Arnold_Schwarzenegger,94022,123
Q46372260,Darwin_Núñez,93535,51
Q43203,Clint_Eastwood,92962,109
Q47075606,Viktor_Gyökeres,92941,48
Q722750,Justin_Rose,92842,28
Q1352872,Robert_F._Kennedy_Jr.,92758,43
Q9557,Aamir_Khan,92496,92
Q80069,Megan_Fox,92294,100
Q120492201,Aravind_Srinivas,92236,7
Q873,Meryl_Streep,91830,114
Q13909,Angelina_Jolie,91812,142
Q103578,Macaulay_Culkin,91735,72
Q312556,Jeff_Bezos,91715,97
Q656035,Michael_Crawford,91586,26
Q392,Bob_Dylan,91571,144
Q191088,Joe_Jonas,91477,55
Q81819,Monica_Bellucci,91239,86
Q17523834,Louisa_Jacobson,91166,10
Q40026,Sylvester_Stallone,90809,108
Q113136886,Christopher_Briney,90314,9
Q313381,Tom_Brady,90208,50
Q37321400,Tay-K,89806,6
Q56008,Tim_Burton,89755,83
Q67198835,Jeremie_Frimpong,89519,40
Q171758,Matthew_Perry,89433,83
Q214910,Kamehameha_I,89428,48
Q131591184,Morice_Norris,88996,1
Q19848,Lady_Gaga,88991,171
Q286501,Shellback_(record_producer),88966,25
Q124254296,Jen_Pawol,88773,2
Q280856,George_VI,88735,109
Q132537,J._Robert_Oppenheimer,88669,102
Q517,Napoleon,88312,215
Q23759917,Alexander_Isak,88202,50
Q130279750,Wade_Wilson_(criminal),87972,5
Q24951318,Donald_Triplett,87682,14
Q4787920,Arden_Cho,87663,32
Q4830910,Ayan_Mukerji,87538,15
Q489856,Haley_Joel_Osment,87490,53
Q6279,Joe_Biden,87150,225
Q331748,Tommy_Lee,86909,32
Q18671589,James_Sligo_Jameson,86906,3
Q34851,Elizabeth_Taylor,86905,116
Q8007,Franklin_D._Roosevelt,86778,181
Q325611,Homi_J._Bhabha,86553,44
Q40715,Jennifer_Lopez,86546,118
Q46408,Georgia_O'Keeffe,85274,82
Q18097962,Pete_Davidson,85193,35
Q15869,Freddie_Mercury,85161,149
Q5393446,Ernest_Lee_Thomas,85160,8
Q111902236,Gavin_Casalegno,85128,10
Q178903,Alexander_Hamilton,85092,81
Q189489,Zendaya,84371,85
Q228717,Rose_Byrne,84251,53
Q113632706,Matt_Rife,84244,25
Q173633,Monica_Seles,84150,63
Q151304,Jack_Antonoff,84001,33
Q232414,Lisa_Bonet,83869,38
Q7172014,Pete_Hegseth,83788,41
Q4616,Marilyn_Monroe,83706,196
Q4739665,Amanda_Knox,83513,19
Q36301,Anne_Hathaway,83023,100
Q10738,Dwayne_Johnson,82683,102
