Rank,Name
266,Francis Joseph I
267,Antoinette Louisa Brown Blackwell
268,James Madison
269,Henri Matisse
270,Denis Diderot
271,Mitsui Takatoshi
272,Jacob Grimm
273,Wilhelm Grimm
274,Claude Debussy
275,Gottlieb Daimler
276,John of Austria
277,Wilhelm Conrad Rontgen
278,Arthur Wellesley 1st Duke of Wellington
279,Edgar Allen Poe
280,John Donne
281,Peter Paul Rubens
282,Sir Edward Coke
283,El Greco
284,Leo Hendrik Baekeland
285,Norman Borlaug
286,Ignaz Phillipp Semmelweis
287,John Marshall
288,Leopold Von Ranke
289,Clara Barton
290,Sun Yat-Sen
291,Johannes Fibiger
292,William Blackstone
293,James Naismith
294,Jean-Baptiste Colbert
295,Mi Fei
296,Franz Joseph Haydn
297,John Keats
298,John II of Portugal
299,Giambattista Vico
300,Franz Liszt
301,Edouard Manet (1832-1883)
302,François Rabelais
303,Girolamo Savonarola
304,Helen Keller
305,Ida B. Wells
306,Thomas Malthus
307,Pierre Beauchamp
308,Elisha Otis
309,Ferdinand Ritter Von Mannlicher
310,Ram Singh
311,Thomas Paine
312,David Ben-Gurion
313,Ibn Taymiyah
314,Jonas Salk
315,William Blake
316,Barthelemy Thimonnier
317,Horace Mann
318,Walt Whitman
319,Donatello
320,John Hawkins
321,Giovanni Boccaccio
322,Louis Armstrong
323,Margaret Fuller
324,Hung Hsiu-Chuan
325,Domingo Faustino Sarmiento
326,Henry Bessemer
327,Paul McCartney
328,John Lennon
329,Samuel Morse
330,Alexander Pushkin
331,Sandro Botticelli
332,Kublai Khan
333,Christiaan Huygens
334,Andres Bello
335,Jan Van Eyck
336,Lise Meitner
337,John Wycliffe
338,Johannes Eckehart
339,Jan Pieterszoon Coen
340,Francisco De Goya
341,George Berkeley
342,Franz Schubert
343,Pope John XXIII
344,General of the Army George Marshall
345,Sir Thomas More
346,Auguste Escoffier
347,Gerardus Mercator
348,Thurgood Marshall
349,Cardinal Richelieu
350,Ibn Al-Arabi
351,Charles Babbage
352,Elvis Presley
353,Johannes Brahms
354,Nelson Mandela
355,Maria Theresa
356,Firdawsi
357,Sir Walter Scott
358,Betty Friedan
359,Henry II of England
360,Babe Ruth
361,Yamagata Aritomo
362,Pierre De Fermat
363,Constantin Brancusi
364,Ludwig Mies Van Der Rohe
365,Soren Kierkegaard
366,John Dryden
367,Ezra Pound
368,Giuseppe Garibaldi
369,Jean Piaget
370,Tokugawa Ieyasu
371,Ulysses S. Grant
372,Louisa May Alcott
373,Clarence Birdseye
374,Dwight D. Eisenhower
375,Henry David Thoreau
376,George P Marsh
377,Rachel Carson
378,Pope Gregory VII
379,Margaret Mead
380,Menelik II of Ethiopia
381,Bill W.
382,Agatha Christie
383,Jeremy Bentham
384,Pierre-Auguste Renoir
385,Lord Byron
386,James Starley
387,Jan Hus
388,Ernest Hemingway
389,Jean-Baptiste Racine
390,Saint Bernadette Soubirous/ Sainte Bernadette Soubirous
391,John Bunyan
392,Richard Francis Burton
393,Aphra Behn
394,Samuel Taylor Coleridge
395,Enrico Fermi
396,Yo Fei
397,James Boswell
398,Gustave Flaubert
399,Jean-Paul Marat
400,Tomas De Torquemada
401,Mikhail Bakunin
402,Bartolomeu Dias
403,Giovanni Bellini
404,Nichiren
405,Vaslav Nijinsky
406,John Harington
407,Osman I
408,Guido of Arezzo
409,Andre-Marie Ampere
410,George Washington Carver
411,Leif Eriksson
412,Roger Bacon
413,Wallace Hume Carothers
414,Frederick Winslow Taylor
415,Friedrich Engels
416,John I of England
417,Ferdinand Foch
418,Aristide Boucicaut
419,Charles-Maurice De Talleyrand-Périgord
420,Eleanor of Aquitaine
421,Ferdinand De Lesseps
422,Yung-Lo
423,Gustavus Adolphus of Sweden
424,Frederic Chopin
425,Alessandro Volta
426,Eugene O'Neill
427,Philip II of Spain
428,Mathew Brady
429,Leon Trotsky
430,John Harvey Kellogg
431,Konrad Adenauer
432,Michel De Montaigne
433,Jean Monnet
434,Jean-Francois Borel
435,John Pierpont Morgan
436,Henry Maudslay
437,Woodrow Wilson
438,Li Hung-Chang
439,John III of Portugal
440,Joseph Monier
441,Virginia Woolf
442,Jackie Robinson
443,James Buchanan Duke
444,John Roebling
445,Alan Turing
446,Louis Lumiere
447,Vincent of Beauvais
448,Henry Cavendish
449,Gabriele Falloppio
450,John Gorrie
451,Wassily Kandinsky
452,George III
453,Heinrich Hertz
454,Gertrude Elion
455,Chiang Kai-Shek
456,Ibn Al-Haytham
457,Harriet Beecher Stowe
458,Booker T Washington
459,Charles De Gaulle
460,Benito Mussolini
461,Ch'ien-Lung
462,Frederick Banting
463,Albert Kahn
464,Pope Clement Vii
465,Konstantin Stanislavsky
466,Fidel Castro
467,Philip of Hesse
468,Eugène Delacroix (1798-1863)
469,Irving Berlin
470,Frederick Law Olmsted
471,Thomas Cranmer
472,Sir Walter Raleigh
473,John Montagu
474,Cesare Beccaria
475,Pope Gregory Ix
476,Giuseppe Verdi
477,Hiroshige
478,Shah Jahan
479,Emily Dickinson
480,Emperor Frederick II
481,Anne Frank
482,Edgar Degas
483,Jorge Luis Borges
484,Bernardo O'Higgins
485,Harry S Truman
486,John D. Rockefeller
487,George Eastman
488,'Abd Al-Aziz Ibn Sa'ud
489,William the Silent
490,Wilhelm Wundt
491,Maria Agnesi
492,Jonathan Swift
493,Jakob Fugger
494,Walt Disney
495,Edmund Kean
496,Ambroise Pare
497,Baybars I
498,Yasir Arafat
499,Yuri Gagarin
500,Amelia Jenks Bloomer
501,Aaron Montgomery Ward
502,Karen Horney
503,Luigi Galvani
504,Ralph Waldo Emerson
505,Meriwether Lewis
506,Iwasaki Yataro
507,Alfred Krupp
508,Jean De La Fontaine (1621-1695)
509,Percy Bysshe Shelley
510,Nettie Marie Stevens
511,Tamerlane
512,Charles Lyell
513,Jan Vermeer
514,Hokusai
515,Robert E. Lee
516,Charles Lindbergh
517,Alp Arslan
518,Winslow Homer
519,Jules Verne
520,Giovanni Giacomo Casanova De Seingalt
521,William Butler Yeats
522,Emily Bronte
523,Dag Hammarskjold
524,Johnny Torrio
525,William Faulkner
526,Duke Ellington
527,Philip II of France
528,Giovanni Pierluigi Da Palestrina
529,John Jacob Astor
530,Francesco Borromini
531,Christopher Latham Sholes
532,Thomas Chippendale
533,Francios Villon
534,Harriet Tubman
535,Frederick Hopkins
536,Albert Luthuli
537,Jose Julian Marti
538,Enirco Caruso
539,Godfrey Newbold Hounsfield
540,Levi Strauss
541,Benvenuto Celliini
542,Francisco De Orellana
543,William James
544,Washington Irving
545,Paul Gauguin
546,Tecumseh
547,John Knox
548,Margaret Bourke-White
549,Ibn Khaldun
550,Hans Christian  Andersen
551,Lope De Vega
552,Shaka
553,Joseph Conrad
554,Isadora Duncan
555,Fannie Farmer
556,Martin Behaim
557,Henry James
558,Jean-Baptiste Say
559,Marie Lachapelle
560,Gustave Courbet
561,Pierre Corneille
562,Benjamin Spock
563,Abigail Adams
564,Ruben Dario
565,George Frideric Handel
566,Cornelius Vanderbilt
567,Jalal Ad-Din Ar-Rumi
568,Jean-Baptiste Camille Corot
569,Duncan Phyfe
570,Bartholomaeus Anglicus
571,Omar Khayyam
572,Edwin Hubble
573,Simone De Beauvoir
574,Oscar Wilde
575,George Wythe
576,Zhou Enlai
577,William Wordsworth
578,Gustav Mahler
579,Anna Comnena
580,St. Angela Merici
581,Babe Didrikson Zaharias
582,Eamon De Valera
583,Mahmud of Ghazna
584,Thomas Mann
585,Mohammed Ali Jinnah
586,Mary Mallon
587,Honoré Daumier
588,Francisco De Miranda
589,Robert Owen
590,Rashi
591,Lu Hsun
592,Henri Cartier-Bresson
593,Bertrand Russell
594,William of Sens
595,Anthony of Padua
596,Eisai
597,Ramakrishna
598,Minamoto No Yoritomo
599,Nicolas De Ovando
600,Douglas Macarthur
601,William of Ockham
602,King Gillette
603,Rowland Hill
604,John R Pierce
605,Joseph Henry
606,Georgia O'Keeffe
607,Emile Zola
608,Robert Browning
609,Charles Goodyear
610,Mary Stuart
611,Alexis De Tocqueville
612,Robert Swanson
613,Louis Ix of France
614,Helena Rubinstein
615,Sergey Prokofiev
616,Ian Wilmut
617,Niccolo Paganini
618,Christina Rossetti
619,Nikita Khrushchev
620,Regiomontanus
621,Andreas Marggraf
622,Charles Michel De L'epee
623,邓小平 （鄧小平 / Deng Xiaoping）
624,Horatio Nelson
625,Berthe Morisot
626,Paul Julius Reuter
627,Pope John Paul II
628,Stephen Langton
629,Anna Freud
630,Jose De San Martin
631,Ernest Mach
632,Catherine De Medicis
633,Charles Baudelaire
634,Ludwig Wittenstein
635,John Duns Scotus
636,Dietrich Bonhoeffer
637,Konstantin Tsiolkovsky
638,William Gladstone
639,Benjamin Disraeli
640,Philippe Pinel
641,James Gordon Bennett
642,Inigo Jones
643,Pierre-Marie-Alexis Millarder
644,William Morris
645,Peter Goldmark
646,Robert  a Watson-Watt
647,Aleksandr Solzhenitsyn
648,Pierre-Joseph Proudhon
649,William Randolph Hearst
650,Maria Montessori
651,Tsao Chan
652,Nicolas Leblanc
653,Dorothy Day
654,Edward Gibbon
655,James Wolfe
656,Saint Elizabeth Ann Seton
657,Pierre Bonnard
658,Saint Stephen I of Hungary
659,Henry Vii of England
660,John Gregg
661,Samuel Gompers
662,Crazy Horse
663,Gotthold Lessing
664,Grandma Moses
665,Luther Burbank
666,Francisco Franco
